data_coleta;hora_utc;temp_ins;temp_max;temp_min;umi_ins;umi_max;umi_min;pressao_ins;vel_vento;chuva_mm;horas_uso;vibracao_motor;proximidade_agua;declividade;qtidade_falhas
03/03/2026;2000;27,4;27,8;27;39;40;37;924,5;0,7;0;56;4,35;1791;10;7
03/03/2026;2100;26,3;27,4;26,2;44;44;38;924,5;0,3;0;78;4,71;838;2;8
03/03/2026;2200;24,1;26,3;24,1;52;52;43;924,6;1;0;279;2,36;1683;3;3
03/03/2026;2300;22,4;24,1;22,4;60;60;52;925,2;1;0;195;3,79;1024;26;7
04/03/2026;0000;21,3;22,4;21,3;63;63;60;925,9;0,8;0;73;4,75;1431;6;1
04/03/2026;0100;20,5;21,3;20,5;69;69;63;927;0,3;0;485;4,31;1334;15;7
04/03/2026;0200;19,4;20,5;19,4;76;76;69;927,4;0,9;0;231;2,23;1099;3;0
04/03/2026;0300;18,8;19,4;18,8;81;81;76;927,2;0,4;0;76;0,43;873;2;7
04/03/2026;0400;18,5;18,9;18,4;84;84;77;927,4;0;0;478;4,08;272;5;8
04/03/2026;0500;17,6;18,5;17,6;88;88;84;926,9;1,2;0;231;3,15;234;23;4
04/03/2026;0600;17,1;17,6;17;91;91;88;926,3;0,9;0;415;3,23;1914;6;10
04/03/2026;0700;17,1;17,2;17;88;91;88;925,7;0,7;0;120;0,45;1958;29;9
04/03/2026;0800;17,2;17,2;16,9;83;88;83;925,8;1,1;0;309;3,79;1082;29;10
04/03/2026;0900;16,7;17,2;16,7;85;85;82;925,7;0,7;0;276;3,65;1307;23;8
04/03/2026;1000;16,8;17,1;16,6;86;86;83;926,5;1,5;0;457;1,42;944;18;3
04/03/2026;1100;18,4;18,8;16,8;81;86;76;927,2;2;0;395;0,39;676;3;4
04/03/2026;1200;20,9;21;18,4;62;81;62;927,6;0,7;0;264;4,33;838;17;0
04/03/2026;1300;22,8;22,8;20,6;57;63;56;928,1;0,7;0;75;4,68;1337;26;7
04/03/2026;1400;24,1;24,1;22,7;55;58;51;927,9;1,1;0;169;1,36;1493;15;3
04/03/2026;1500;24,6;25,9;23,9;48;55;41;927,3;0,5;0;59;1,05;1555;27;4
04/03/2026;1600;26,7;27;24,6;42;50;41;926,6;1;0;104;2,52;1960;30;2
04/03/2026;1700;28,4;28,4;26,2;34;44;34;925,8;1,5;0;289;2,94;196;13;8
04/03/2026;1800;28,8;29,6;27,7;33;37;32;925,4;1,2;0;377;0,22;648;7;6
04/03/2026;1900;28,8;29,7;28,1;35;37;32;925,2;1;0;434;3,83;1741;27;0
04/03/2026;2000;28,8;29,3;28,2;37;38;34;925;1;0;179;3,41;332;11;5
04/03/2026;2100;27,4;28,8;27,4;40;42;37;925;0,9;0;248;2,81;580;0;4
04/03/2026;2200;25,5;27,4;25,5;44;44;39;925;0,8;0;189;1,61;621;0;3
04/03/2026;2300;23,7;25,5;23,7;51;51;44;925,2;0,5;0;493;0,59;312;30;8
05/03/2026;0000;22,5;23,7;22,5;59;59;51;925,8;0,5;0;77;1,33;885;23;3
05/03/2026;0100;22;22,4;22;59;61;58;926,5;0,9;0;244;2,41;1510;0;1
05/03/2026;0200;21,2;22;21,2;63;63;59;926,9;1,3;0;433;0,28;1266;0;1
05/03/2026;0300;20,1;21,2;20;71;71;63;927,5;1,1;0;474;2,1;1886;5;4
05/03/2026;0400;19,3;20,1;19,3;78;78;71;927,6;1,1;0;340;2,23;1424;8;3
05/03/2026;0500;18,7;19,4;18,7;81;81;78;927,2;1,4;0;213;0,51;768;14;7
05/03/2026;0600;18;18,7;18;84;84;81;926,7;1,3;0;140;4,84;1668;17;1
05/03/2026;0700;17;18;16,5;93;93;84;926,9;1,6;0;323;4,88;1008;7;2
05/03/2026;0800;16,9;17,2;16,9;91;93;91;926,7;0;0;163;3,98;152;15;5
05/03/2026;0900;16;16,9;16;92;92;91;926,8;0,4;0;449;3,63;1614;8;6
05/03/2026;1000;16,7;16,7;15,9;90;92;90;927,3;0,5;0;165;1,64;859;30;10
05/03/2026;1100;18;18,1;16,7;85;90;85;927,9;0,7;0;460;3,56;145;9;9
05/03/2026;1200;19,7;20,2;17,8;77;85;76;928,1;0,6;0;72;4,51;311;6;7
05/03/2026;1300;22,8;23,4;19,7;64;78;63;928,3;0,7;0;257;2,38;1120;6;5
05/03/2026;1400;25,6;25,6;22,4;54;65;54;927,9;1,5;0;492;1,57;1788;1;2
05/03/2026;1500;26,9;27,7;24,7;39;55;37;927,5;1,1;0;333;1,07;422;7;5
05/03/2026;1600;29,4;29,5;26,8;31;42;27;926,9;0,8;0;396;2,01;1403;14;2
05/03/2026;1700;29;30;28,6;32;34;25;926,3;1;0;99;1,96;387;9;1
05/03/2026;1800;30,7;31,4;29;29;32;27;926;1,3;0;127;0,57;1803;9;4
05/03/2026;1900;29,4;30,9;29,4;27;30;26;925,5;1,4;0;192;1,53;1072;5;4
05/03/2026;2000;29,3;29,9;29,2;27;28;26;925;2,8;0;138;2,36;1823;0;0
05/03/2026;2100;28,3;29,4;28,3;32;32;27;924,7;1,1;0;142;2,06;1690;28;4
05/03/2026;2200;26,8;28,4;26,8;32;32;28;924,9;1,2;0;56;0,89;1223;0;4
05/03/2026;2300;24,3;26,9;24,3;64;64;32;925,6;0,5;0;131;3,21;273;23;2
06/03/2026;0000;22,6;24,3;22,6;75;75;64;926,5;0,4;0;474;3,04;1739;25;9
06/03/2026;0100;21,2;22,6;21,2;81;81;76;927,6;0,6;0;245;0,53;639;1;6
06/03/2026;0200;20,2;21,2;20,2;87;87;81;927,9;1,1;0;74;2,34;1457;13;6
06/03/2026;0300;20,4;20,4;20,2;85;87;85;928,1;0,4;0;149;1,59;984;17;9
06/03/2026;0400;20;20,4;20;87;87;85;927,5;0,9;0;321;2,91;1827;25;10
06/03/2026;0500;19,5;20;19,4;90;90;87;927,4;0,5;0;101;3,47;911;18;7
06/03/2026;0600;19,1;19,5;19,1;91;91;90;926,6;0,7;0;338;3,54;874;4;0
06/03/2026;0700;18,9;19,2;18,9;91;91;91;926,5;0;0;344;2,46;554;28;3
06/03/2026;0800;18,7;18,9;18,7;91;91;90;926,6;0,9;0;169;1,63;1222;9;9
06/03/2026;0900;18,7;18,9;18,7;90;91;90;927,2;1;0;97;2,2;1251;6;9
06/03/2026;1000;19,1;19,1;18,6;89;90;89;927,5;0,7;0;139;3,59;1697;22;1
06/03/2026;1100;20,7;20,7;19,1;84;89;84;928;1,1;0;442;3,17;432;2;3
06/03/2026;1200;24,6;24,6;20,7;70;84;70;928,1;1,2;0;386;4,19;1315;4;10
06/03/2026;1300;26,1;26,4;24,3;65;71;64;928,4;1,9;0;243;0,87;754;25;2
06/03/2026;1400;27,7;27,8;26;60;66;60;928,1;0,3;0;488;4,02;611;9;9
06/03/2026;1500;27,7;28,9;27,3;60;61;57;927,7;0,9;0;255;2,41;516;23;3
06/03/2026;1600;30,1;30,4;27,8;52;61;51;926,8;1,4;0;285;3,87;821;2;10
06/03/2026;1700;29,2;30,9;28,3;55;57;50;925,8;2,3;0;314;4,53;1369;4;9
06/03/2026;1800;28,8;30,4;28,8;56;58;52;925,2;2,4;0;276;0,93;1291;12;8
06/03/2026;1900;30,4;30,4;28,6;50;57;49;924,2;2,6;0;250;2,87;1049;6;5
06/03/2026;2000;29,9;30,4;29;50;55;48;923,9;1,7;0;151;0,3;436;22;5
06/03/2026;2100;28,7;30,1;28,7;53;53;49;923,6;0,4;0;371;2,85;1044;7;2
06/03/2026;2200;27;28,7;27;63;64;53;924;1,2;0;77;2,29;500;3;2
06/03/2026;2300;23,7;27;23,7;76;76;62;925,1;0,4;0;310;0,91;1408;17;2
07/03/2026;0000;22,3;23,7;22,2;86;86;76;925,8;0,8;0;229;4,39;889;11;1
07/03/2026;0100;22,1;22,3;22;87;87;86;926,1;1,3;0;327;0,34;997;19;5
07/03/2026;0200;22;22,2;22;87;87;87;926,7;1,2;0;343;2,7;1006;10;5
07/03/2026;0300;21,7;22;21,7;88;88;87;926,6;0,7;0;268;1,16;979;8;0
07/03/2026;0400;21,5;21,8;21,5;89;89;87;926,4;0,8;0;60;3,26;241;0;3
07/03/2026;0500;21,4;21,5;21,4;89;89;89;926;1,3;0;148;2,08;1898;29;6
07/03/2026;0600;21,2;21,4;21,2;90;90;89;925,7;1,1;0;271;0,23;511;29;0
07/03/2026;0700;20,8;21,2;20,8;91;91;90;925,4;1;0;142;3,76;1109;24;6
07/03/2026;0800;20,5;20,9;20,5;91;91;91;925,7;0,2;0;93;2,57;827;6;5
07/03/2026;0900;20,3;20,6;20,3;92;92;91;925,9;0;0;244;0,9;1562;30;5
07/03/2026;1000;20,3;20,5;20;93;93;92;926,5;0;0;420;2;740;7;1
07/03/2026;1100;23,6;23,6;20,3;80;93;80;926,3;1;0;199;3,79;852;0;8
07/03/2026;1200;25,5;25,5;23,3;74;81;73;926,6;1,9;0;269;0,28;1032;8;9
07/03/2026;1300;26,8;27,4;25,5;64;74;64;926,9;2,4;0;353;0,57;1546;22;9
07/03/2026;1400;27,3;28;26,2;65;67;61;926,5;3;0;226;2,13;1880;5;1
07/03/2026;1500;28,7;29,2;27,4;61;65;57;925,6;2,6;0;73;0,96;1520;25;5
07/03/2026;1600;28,9;29,5;28;58;62;56;925,2;2,9;0;356;4;710;19;3
07/03/2026;1700;29,1;30,1;27,5;57;64;54;924,3;2,9;0;90;2,95;1341;30;8
07/03/2026;1800;28,8;30,4;28;56;59;53;923,9;3,4;0;108;2,98;400;18;6
07/03/2026;1900;29,2;30,3;28;53;59;51;923,6;3,1;0;80;3,98;1336;4;6
07/03/2026;2000;25;29,4;25;72;72;53;923,4;0,2;0;237;2,48;1445;27;0
07/03/2026;2100;23;25,3;23;81;81;68;923,2;1,6;0;167;2,1;900;0;7
07/03/2026;2200;24,2;24,2;23;78;82;78;923,7;0;0;109;4,03;1281;24;3
07/03/2026;2300;24,5;24,8;24,2;76;78;74;924;0;0;403;2,13;1925;16;3
08/03/2026;0000;23,8;24,5;23,7;79;79;76;925,1;0;0;373;4;1236;29;9
08/03/2026;0100;23,3;24;23,3;79;79;78;924,9;0,1;0;174;2,72;591;8;3
08/03/2026;0200;22,3;23,3;22,3;81;81;79;925;0,2;0;359;2,75;1704;13;0
08/03/2026;0300;21,5;22,3;21,5;83;83;81;925,4;0,1;0;165;3,42;665;17;4
08/03/2026;0400;20,8;21,7;20,8;86;86;82;925,4;1,5;0;451;0,88;1156;28;1
08/03/2026;0500;19,6;20,8;19,6;91;91;86;924,9;1,2;0;151;2,91;1431;23;5
08/03/2026;0600;19,1;19,7;19,1;93;93;91;924,4;0,5;0;75;2,09;574;30;0
08/03/2026;0700;19,4;19,5;19;92;93;92;924,1;1,1;0;319;4,66;701;0;2
08/03/2026;0800;19,3;19,5;19,3;90;92;90;924,5;0,4;0;104;0,43;1713;2;10
08/03/2026;0900;19,4;19,5;19,3;88;91;88;925;0,4;0;307;2,23;946;19;4
08/03/2026;1000;20,5;20,5;19,4;85;88;85;925,6;0,9;0;190;4,82;251;15;3
08/03/2026;1100;23,3;23,3;20,5;71;85;71;926,6;1,3;0;385;0,4;1001;25;0
08/03/2026;1200;24,3;25,3;23,1;68;71;63;927;0,4;0;100;1,69;957;11;6
08/03/2026;1300;26,5;26,5;24,3;65;69;61;927,2;1,1;0;84;0,57;225;12;7
08/03/2026;1400;28,3;28,5;26,6;55;65;52;926,9;1,8;0;383;2,91;1548;11;0
08/03/2026;1500;28,2;28,9;27,3;52;57;51;926,2;1,6;0;146;4,39;787;13;5
08/03/2026;1600;29,9;31,2;28,2;47;54;44;925,3;1;0;367;0,62;1874;2;6
08/03/2026;1700;29,5;31,2;28,6;49;52;44;924,9;1,1;0;278;3,04;665;0;8
08/03/2026;1800;31,6;31,9;29,1;41;50;41;924;1,2;0;76;4,35;395;23;4
08/03/2026;1900;31,8;32;30,1;38;43;37;923;1,3;0;320;3,27;217;29;9
08/03/2026;2000;30,1;31,8;29,9;45;46;36;922,8;1,4;0;423;3,17;1488;10;10
08/03/2026;2100;28,9;30,1;28,9;52;52;45;923,2;0,2;0;441;4,97;1441;15;0
08/03/2026;2200;26,1;28,9;26,1;71;71;52;924,1;0,2;0;487;0,49;909;5;1
08/03/2026;2300;23;26,1;23;80;80;71;924,9;0;0;173;3,02;1075;9;8
09/03/2026;0000;21,5;23;21,5;83;83;80;926;0;0;415;3,75;539;20;10
09/03/2026;0100;21,3;21,5;21,2;83;83;83;926,5;0;0;385;1,86;1612;28;6
09/03/2026;0200;21,3;21,3;21,2;83;83;83;927,5;0;0;465;0,83;1861;4;9
09/03/2026;0300;21,2;21,4;21,2;83;84;82;927,6;0;0;93;2,13;88;20;0
09/03/2026;0400;21,1;21,2;21;84;85;83;927,2;0;0;348;0,9;1165;28;0
09/03/2026;0500;20,7;21,2;20,7;88;88;84;926,8;0;0;225;2,81;709;25;7
09/03/2026;0600;20,2;20,7;20,1;90;90;88;926,8;0;0;97;4,72;1084;11;4
09/03/2026;0700;19,7;20,2;19,7;89;90;88;926,9;0;0;484;0,69;783;28;6
09/03/2026;0800;19,2;19,7;19,2;92;92;89;927,2;0;0;389;3,15;499;16;0
09/03/2026;0900;18,9;19,2;18,9;93;93;92;928;0;0,2;62;1,93;1217;25;3
09/03/2026;1000;19,1;19,1;18,8;93;93;93;928,9;0;1,8;79;0,89;1888;2;9
09/03/2026;1100;19,5;19,5;19;93;93;92;929,2;0,1;0,8;300;2,21;1276;28;3
09/03/2026;1200;20;20,2;19,5;90;92;90;929,8;0,5;0,2;312;2,52;399;8;8
09/03/2026;1300;20,1;20,1;19,9;90;90;90;930,1;0,4;0,4;490;2,57;133;23;8
09/03/2026;1400;21,6;21,7;20,1;86;90;85;929,9;0,8;0,2;348;1,35;1254;21;4
09/03/2026;1500;21,2;21,9;21,1;84;86;82;929,7;1,2;0,2;52;1,29;678;4;7
09/03/2026;1600;21,8;21,8;20,5;88;90;84;929,1;1,1;2,6;450;4,8;1960;24;0
09/03/2026;1700;20,9;21,8;20,8;88;89;84;928,3;0,5;1;399;0,39;1426;1;0
09/03/2026;1800;20,1;20,9;20,1;88;89;87;928;0,7;2;107;3,63;1643;17;9
09/03/2026;1900;19,9;20,2;19,8;89;89;88;927,4;0,4;2,2;388;1,33;176;29;7
09/03/2026;2000;20;20,1;19,8;92;92;89;927,3;0,2;2,4;154;0,39;1558;0;9
09/03/2026;2100;19,4;20,1;19,3;94;94;91;927,4;0,3;4,8;203;1,96;1100;10;0
09/03/2026;2200;19,6;19,8;19,4;93;94;93;927,4;0,1;0,2;313;1,42;1169;17;9
09/03/2026;2300;19,2;19,6;19,2;92;93;92;927,5;0,1;0,2;438;3,58;244;25;9
10/03/2026;0000;19,7;19,8;19,2;91;92;91;928;0,1;0;67;2,97;203;27;8
10/03/2026;0100;19,6;19,8;19,6;87;91;87;928,6;0,1;0;107;0,74;1945;7;1
10/03/2026;0200;19,9;19,9;19,6;91;91;87;929;0;0;163;2,25;1173;22;10
10/03/2026;0300;19,7;19,9;19,7;93;93;91;929;0,1;0,4;321;4,44;1075;17;5
10/03/2026;0400;19,6;19,8;19,6;92;93;92;928,5;0;0,2;399;0,92;606;6;2
10/03/2026;0500;19;19,7;19;92;92;91;928;0;0;234;2,61;1300;17;4
10/03/2026;0600;18,8;19;18,8;92;92;92;927,9;0;0;487;4,61;570;27;3
10/03/2026;0700;18,5;18,8;18,4;94;94;92;927,7;0;0,4;285;3,12;1827;26;2
10/03/2026;0800;18,4;18,5;18,4;94;94;94;927,9;0;0,2;308;1,83;227;4;10
10/03/2026;0900;18,3;18,4;18,3;94;94;94;928,3;0;0,2;467;0,34;1875;12;7
10/03/2026;1000;18,4;18,5;18,3;94;94;94;928,5;0;0;154;1,9;1707;23;1
10/03/2026;1100;19;19;18,4;93;94;93;929,4;0,3;0;187;3,67;1682;28;8
10/03/2026;1200;19,4;19,5;18,9;92;93;92;930;0;0,4;201;4,07;1768;7;8
10/03/2026;1300;20,2;20,2;19,4;91;92;91;929,8;0,1;0,2;145;2,47;466;14;8
10/03/2026;1400;20,7;20,8;20;91;92;90;929,7;0;0,4;385;0,48;238;4;7
10/03/2026;1500;22;22,1;20,7;85;91;85;929,2;0;0;329;3,09;353;0;5
10/03/2026;1600;23;23,6;22;79;86;78;928,5;0,4;0;51;4,01;621;24;2
10/03/2026;1700;22,4;23,3;22,4;81;81;78;928,1;0;0,2;337;2,78;1439;3;4
10/03/2026;1800;21,2;22,4;21,2;92;92;82;927,8;0;1,2;136;1,63;1215;15;3
10/03/2026;1900;21,3;21,5;21,1;92;93;92;927,3;0;2,8;361;0,64;1819;5;9
10/03/2026;2000;20,9;21,5;20,9;92;93;92;927,1;0;0,4;432;2,32;1363;19;3
10/03/2026;2100;20,6;21;20,6;93;93;92;927,1;0,1;1,2;461;1,08;604;0;0
10/03/2026;2200;20;20,6;19,9;94;94;93;927,3;0;3,6;453;1,88;1875;27;5
10/03/2026;2300;19,4;20;19,4;95;95;94;927,6;0;4,4;204;1,35;1758;9;8
11/03/2026;0000;19,1;19,4;19,1;95;95;95;928,2;1,2;2,4;198;3,85;979;17;8
11/03/2026;0100;19,2;19,2;19,1;94;95;94;928,5;1,1;0,4;349;1,27;357;13;8
11/03/2026;0200;19,1;19,2;19,1;94;94;94;928,5;0,4;0;361;3,04;848;25;10
11/03/2026;0300;18,9;19,2;18,9;94;95;94;928,3;0,4;0;277;1,4;1695;0;5
11/03/2026;0400;18,7;18,9;18,7;94;94;94;927,6;0,5;0;433;1,71;1898;27;4
11/03/2026;0500;18,2;18,7;18,2;95;95;94;927,5;0,8;0;276;2,73;1584;22;4
11/03/2026;0600;18,3;18,3;18,2;95;95;95;926,9;0,2;0,2;422;2,13;743;21;4
11/03/2026;0700;18,2;18,4;18,2;95;95;95;926,8;0,5;0;361;2,81;914;30;9
11/03/2026;0800;18,3;18,3;18,2;95;95;95;926,8;0,8;0;445;4,84;435;30;7
11/03/2026;0900;18,4;18,4;18,3;95;95;95;926,9;0,7;0;349;1,34;813;20;5
11/03/2026;1000;18,6;18,7;18,4;95;95;95;927,4;1,1;0;369;3,79;1056;26;8
11/03/2026;1100;19,1;19,1;18,6;94;95;94;928;1,2;0;471;1,87;1220;21;0
11/03/2026;1200;19,9;19,9;19,1;91;93;91;928,2;1;0;400;1,36;1926;28;0
11/03/2026;1300;19,9;19,9;19,6;91;91;90;928,4;0;0;93;2,42;1192;12;2
11/03/2026;1400;20,4;20,4;19,7;92;93;91;928,3;0,9;1,2;388;2,89;757;14;7
11/03/2026;1500;22,3;22,4;20,3;84;92;84;927,8;0,9;0;240;1,31;1001;2;9
11/03/2026;1600;22,1;22,4;21,7;86;87;83;927,1;0,5;0;129;2,36;1914;14;9
11/03/2026;1700;21,2;22,2;21;92;92;85;926,3;0;0,4;459;4,38;1620;16;4
11/03/2026;1800;20,9;21,5;20,8;93;93;91;925,4;0,3;1;309;0,86;457;20;4
11/03/2026;1900;20,8;21;20,7;94;94;93;924,8;0,8;2,2;254;1,98;194;2;9
11/03/2026;2000;21,1;21,2;20,7;93;94;93;924,4;0,6;0,4;246;2,05;797;2;2
11/03/2026;2100;21,2;21,4;21,1;91;93;91;924,4;0,2;0;343;0,33;819;8;10
11/03/2026;2200;21;21,2;20,9;91;91;91;925;0;0;231;4,61;1146;7;0
11/03/2026;2300;20,5;21;20,5;92;92;91;925,5;0;0;133;4,44;1169;12;2
12/03/2026;0000;20,4;20,6;20,4;93;93;92;926,1;0;0;224;0,71;1227;16;1
12/03/2026;0100;20,3;20,5;20,3;93;93;93;926,4;0;0,2;293;1,05;322;14;10
12/03/2026;0200;20;20,4;20;94;94;93;926,2;0,1;0,6;235;1,34;1930;10;5
12/03/2026;0300;20,1;20,1;20;94;94;94;926,1;0,2;0,2;367;1,74;979;1;2
12/03/2026;0400;20,1;20,2;20,1;94;94;94;925,7;0;0,2;489;0,34;563;8;10
12/03/2026;0500;19,8;20,1;19,8;94;94;94;925;0;0,4;311;0,22;954;10;1
12/03/2026;0600;19,7;19,8;19,7;94;94;94;924,7;0;0,6;426;3,58;1487;10;1
12/03/2026;0700;19,7;19,7;19,6;95;95;94;924,5;0;0;468;2,94;1849;13;7
12/03/2026;0800;19,7;19,7;19,6;95;95;95;924,7;0;0,8;106;2,29;1284;20;4
12/03/2026;0900;19,8;19,8;19,7;95;95;95;925;0;2;162;0,92;217;18;8
12/03/2026;1000;19,4;19,8;19,4;96;96;95;925,1;0;15,2;357;3,62;773;1;8
12/03/2026;1100;19,6;19,6;19,4;95;96;95;925,4;0,7;2,4;430;3,11;1881;1;1
12/03/2026;1200;19,9;19,9;19,6;95;95;95;925,5;0;1;342;1,51;233;19;1
12/03/2026;1300;20,2;20,2;19,8;95;95;95;925,5;0,3;1;171;0,52;1084;5;8
12/03/2026;1400;21;21;20,1;91;95;91;925,5;2,8;0;365;2,64;554;4;1
12/03/2026;1500;20,8;21;20,3;89;92;89;925,2;2;0;119;1,62;1587;12;3
